"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"IB SPORTS / tvN SPORTS","S45G03","수원 KT",1,"20250412",0,67,NA,"대구 한국가스공사","수원 KT 소닉붐",64,"1400","205","pega","토","kt","64",1,10045250,1,"06","T21,T36","1605",45,"Suwon KT Sonicboom Arena","플레이오프","S45G03N1","수원 KT 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","수원 KT 아레나","03","PO","X","S45G03N1"
"IB SPORTS / tvN SPORTS","S45G03","울산 현대모비스",1,"20250413",0,84,NA,"안양 정관장","울산 현대모비스 피버스",87,"1400","201","kgc","일","hd","70",1,10045268,2,"10","T21,T36","1601",45,"Dongcheon Gymnasium","플레이오프","S45G03N2","울산동천","안양 정관장 레드부스터스",1,NA,"2024-2025","울산동천체육관","03","PO","X","S45G03N2"
"IB SPORTS / tvN SPORTS","S45G03","수원 KT",1,"20250414",0,71,NA,"대구 한국가스공사","수원 KT 소닉붐",75,"1900","204","pega","월","kt","64",1,10045288,3,"06","T21,T36","2104",45,"Suwon KT Sonicboom Arena","플레이오프","S45G03N3","수원 KT 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","수원 KT 아레나","03","PO","X","S45G03N3"
"IB SPORTS / tvN SPORTS","S45G03","울산 현대모비스",1,"20250415",0,72,NA,"안양 정관장","울산 현대모비스 피버스",90,"1900","143","kgc","화","hd","70",1,10045310,4,"10","T21,T36","2043",45,"Dongcheon Gymnasium","플레이오프","S45G03N4","울산동천","안양 정관장 레드부스터스",1,NA,"2024-2025","울산동천체육관","03","PO","X","S45G03N4"
"IB SPORTS / tvN SPORTS","S45G03","대구 한국가스공사",1,"20250416",0,63,NA,"수원 KT","대구 한국가스공사 페가수스",57,"1900","159","kt","수","pega","06",1,10045336,5,"64","T21,T36","2059",45,"Daegue Gymnasium","플레이오프","S45G03N5","대구","수원 KT 소닉붐",1,NA,"2024-2025","대구체육관","03","PO","X","S45G03N5"
"IB SPORTS / tvN SPORTS","S45G03","안양 정관장",1,"20250417",0,99,NA,"울산 현대모비스","안양 정관장 레드부스터스",92,"1900","206","hd","목","kgc","10",1,10045358,6,"70","T21,T36","2106",45,"Anyang Gymnasium","플레이오프","S45G03N6","안양 정관장 아레나","울산 현대모비스 피버스",1,NA,"2024-2025","안양 정관장 아레나","03","PO","X","S45G03N6"
"IB SPORTS / tvN SPORTS","S45G03","대구 한국가스공사",1,"20250418",0,75,NA,"수원 KT","대구 한국가스공사 페가수스",79,"1900","158","kt","금","pega","06",1,10045381,7,"64","T21,T36","2058",45,"Daegue Gymnasium","플레이오프","S45G03N7","대구","수원 KT 소닉붐",1,NA,"2024-2025","대구체육관","03","PO","X","S45G03N7"
"IB SPORTS / tvN SPORTS","S45G03","수원 KT",1,"20250420",0,76,NA,"대구 한국가스공사","수원 KT 소닉붐",78,"1400","202","pega","일","kt","64",1,10045405,9,"06","T21,T36","1602",45,"Suwon KT Sonicboom Arena","플레이오프","S45G03N9","수원 KT 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","수원 KT 아레나","03","PO","X","S45G03N9"
"tvN SPORTS / IB SPORTS","S45G03","서울 SK",1,"20250423",0,61,NA,"수원 KT","서울 SK 나이츠",65,"1900","158","kt","수","sk","06",1,10045438,11,"55","T36,T21","2058",45,"Jamsil Student Gymnasium","플레이오프","S45G03N11","잠실학생","수원 KT 소닉붐",1,NA,"2024-2025","잠실학생체육관","03","PO","X","S45G03N11"
"tvN SPORTS / IB SPORTS","S45G03","창원 LG",1,"20250424",0,64,NA,"울산 현대모비스","창원 LG 세이커스",67,"1900","201","hd","목","lg","10",1,10045453,12,"50","T36,T21","2101",45,"Changwon Gymnasium","플레이오프","S45G03N12","창원체육관","울산 현대모비스 피버스",1,NA,"2024-2025","창원체육관","03","PO","X","S45G03N12"
"IB SPORTS / tvN SPORTS","S45G03","서울 SK",1,"20250425",0,70,NA,"수원 KT","서울 SK 나이츠",86,"1900","141","kt","금","sk","06",1,10045481,13,"55","T21,T36","2041",45,"Jamsil Student Gymnasium","플레이오프","S45G03N13","잠실학생","수원 KT 소닉붐",1,NA,"2024-2025","잠실학생체육관","03","PO","X","S45G03N13"
"IB SPORTS / tvN SPORTS","S45G03","창원 LG",1,"20250426",0,75,NA,"울산 현대모비스","창원 LG 세이커스",84,"1400","209","hd","토","lg","10",1,10045497,14,"50","T21,T36","1609",45,"Changwon Gymnasium","플레이오프","S45G03N14","창원체육관","울산 현대모비스 피버스",1,NA,"2024-2025","창원체육관","03","PO","X","S45G03N14"
"IB SPORTS / tvN SPORTS","S45G03","수원 KT",1,"20250427",0,64,NA,"서울 SK","수원 KT 소닉붐",77,"1400","150","sk","일","kt","55",1,10045522,15,"06","T21,T36","1550",45,"Suwon KT Sonicboom Arena","플레이오프","S45G03N15","수원 KT 아레나","서울 SK 나이츠",1,NA,"2024-2025","수원 KT 아레나","03","PO","X","S45G03N15"
"IB SPORTS / tvN SPORTS","S45G03","울산 현대모비스",1,"20250428",0,76,NA,"창원 LG","울산 현대모비스 피버스",74,"1900","154","lg","월","hd","50",1,10045539,16,"10","T21,T36","2054",45,"Dongcheon Gymnasium","플레이오프","S45G03N16","울산동천","창원 LG 세이커스",1,NA,"2024-2025","울산동천체육관","03","PO","X","S45G03N16"
"IB SPORTS / tvN SPORTS","S45G03","수원 KT",1,"20250429",0,69,NA,"서울 SK","수원 KT 소닉붐",57,"1900","147","sk","화","kt","55",1,10045559,17,"06","T21,T36","2047",45,"Suwon KT Sonicboom Arena","플레이오프","S45G03N17","수원 KT 아레나","서울 SK 나이츠",1,NA,"2024-2025","수원 KT 아레나","03","PO","X","S45G03N17"
"tvN SPORTS / IB SPORTS","S45G04","서울 SK",1,"20250505",0,75,NA,"창원 LG","서울 SK 나이츠",66,"1400","152","lg","월","sk","50",1,10045595,1,"55","T36,T21","1552",45,"Jamsil Student Gymnasium","챔피언결정전","S45G04N1","잠실학생","창원 LG 세이커스",1,NA,"2024-2025","잠실학생체육관","04","CP","X","S45G04N1"
"tvN SPORTS / IB SPORTS","S45G04","서울 SK",1,"20250507",0,76,NA,"창원 LG","서울 SK 나이츠",71,"1900","205","lg","수","sk","50",1,10045628,2,"55","T36,T21","2105",45,"Jamsil Student Gymnasium","챔피언결정전","S45G04N2","잠실학생","창원 LG 세이커스",1,NA,"2024-2025","잠실학생체육관","04","CP","X","S45G04N2"
"tvN SPORTS / IB SPORTS","S45G04","창원 LG",1,"20250509",0,63,NA,"서울 SK","창원 LG 세이커스",80,"1900","152","sk","금","lg","55",1,10045651,3,"50","T36,T21","2052",45,"Changwon Gymnasium","챔피언결정전","S45G04N3","창원체육관","서울 SK 나이츠",1,NA,"2024-2025","창원체육관","04","CP","X","S45G04N3"
"tvN SPORTS / IB SPORTS","S45G04","창원 LG",1,"20250511",0,73,NA,"서울 SK","창원 LG 세이커스",48,"1400","150","sk","일","lg","55",1,10045672,4,"50","T36,T21","1550",45,"Changwon Gymnasium","챔피언결정전","S45G04N4","창원체육관","서울 SK 나이츠",1,NA,"2024-2025","창원체육관","04","CP","X","S45G04N4"
"tvN SPORTS / IB SPORTS","S45G04","서울 SK",1,"20250513",0,56,NA,"창원 LG","서울 SK 나이츠",86,"1900","153","lg","화","sk","50",1,10045699,5,"55","T36,T21","2053",45,"Jamsil Student Gymnasium","챔피언결정전","S45G04N5","잠실학생","창원 LG 세이커스",1,NA,"2024-2025","잠실학생체육관","04","CP","X","S45G04N5"
"tvN SPORTS / IB SPORTS","S45G04","창원 LG",1,"20250515",0,54,NA,"서울 SK","창원 LG 세이커스",51,"1900","148","sk","목","lg","55",1,10045725,6,"50","T36,T21","2048",45,"Changwon Gymnasium","챔피언결정전","S45G04N6","창원체육관","서울 SK 나이츠",1,NA,"2024-2025","창원체육관","04","CP","X","S45G04N6"
"tvN SPORTS / IB SPORTS","S45G04","서울 SK",1,"20250517",0,62,NA,"창원 LG","서울 SK 나이츠",58,"1400","214","lg","토","sk","50",1,10045747,7,"55","T36,T21","1614",45,"Jamsil Student Gymnasium","챔피언결정전","S45G04N7","잠실학생","창원 LG 세이커스",1,NA,"2024-2025","잠실학생체육관","04","CP","X","S45G04N7"
