"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"tvN SPORTS","S45G01","부산 KCC",1,"20241019",0,72,1,"수원 KT","부산 KCC 이지스",77,"1400","151","kt","토","kcc","06",1,10038655,1,"60","T36","1551",45,"Busan Sajik Gymnasium","정규시즌","S45G01N1","부산사직","수원 KT 소닉붐",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N1"
"IB SPORTS","S45G01","원주 DB",1,"20241019",0,83,2,"서울 삼성","원주 DB 프로미",88,"1400","206","ss","토","db","35",1,10038656,2,"16","T21","1606",45,"Wonju Gymnasium","정규시즌","S45G01N2","원주종합","서울 삼성 썬더스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N2"
"tvN SPORTS","S45G01","창원 LG",1,"20241019",0,67,3,"대구 한국가스공사","창원 LG 세이커스",70,"1600","218","pega","토","lg","64",1,10038660,3,"50","T36","1818",45,"Changwon Gymnasium","정규시즌","S45G01N3","창원체육관","대구 한국가스공사 페가수스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N3"
"tvN SPORTS","S45G01","수원 KT",1,"20241020",0,63,4,"서울 삼성","수원 KT 소닉붐",72,"1400","156","ss","일","kt","35",1,10038763,4,"06","T36","1556",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N4","수원 KT 아레나","서울 삼성 썬더스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N4"
"IB SPORTS","S45G01","서울 SK",1,"20241020",0,71,5,"안양 정관장","서울 SK 나이츠",95,"1400","147","kgc","일","sk","70",1,10038764,5,"55","T21","1547",45,"Jamsil Student Gymnasium","정규시즌","S45G01N5","잠실학생","안양 정관장 레드부스터스",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N5"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20241020",0,100,6,"고양 소노","울산 현대모비스 피버스",82,"1600","156","sono","일","hd","66",1,10038772,6,"10","T36","1756",45,"Dongcheon Gymnasium","정규시즌","S45G01N6","울산동천","고양 소노 스카이거너스",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N6"
"tvN SPORTS","S45G01","창원 LG",1,"20241021",0,84,7,"부산 KCC","창원 LG 세이커스",89,"1900","149","kcc","월","lg","60",1,10038881,7,"50","T36","2049",45,"Changwon Gymnasium","정규시즌","S45G01N7","창원체육관","부산 KCC 이지스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N7"
"tvN SPORTS","S45G01","서울 SK",1,"20241022",0,72,8,"원주 DB","서울 SK 나이츠",77,"1900","200","db","화","sk","16",1,10038921,8,"55","T36","2100",45,"Jamsil Student Gymnasium","정규시즌","S45G01N8","잠실학생","원주 DB 프로미",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N8"
"tvN SPORTS","S45G01","부산 KCC",1,"20241023",0,79,9,"고양 소노","부산 KCC 이지스",69,"1900","147","sono","수","kcc","66",1,10038998,9,"60","T36","2047",45,"Busan Sajik Gymnasium","정규시즌","S45G01N9","부산사직","고양 소노 스카이거너스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N9"
"tvN SPORTS","S45G01","원주 DB",1,"20241024",0,92,10,"대구 한국가스공사","원주 DB 프로미",62,"1900","156","pega","목","db","64",1,10039021,10,"16","T36","2056",45,"Wonju Gymnasium","정규시즌","S45G01N10","원주종합","대구 한국가스공사 페가수스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N10"
"IB SPORTS","S45G01","창원 LG",1,"20241024",0,75,11,"안양 정관장","창원 LG 세이커스",82,"1900","208","kgc","목","lg","70",1,10039022,11,"50","T21","2108",45,"Changwon Gymnasium","정규시즌","S45G01N11","창원체육관","안양 정관장 레드부스터스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N11"
"tvN SPORTS","S45G01","부산 KCC",1,"20241025",0,96,12,"울산 현대모비스","부산 KCC 이지스",76,"1900","143","hd","금","kcc","10",1,10039123,12,"60","T36","2043",45,"Busan Sajik Gymnasium","정규시즌","S45G01N12","부산사직","울산 현대모비스 피버스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N12"
"IB SPORTS","S45G01","수원 KT",1,"20241025",0,75,13,"서울 SK","수원 KT 소닉붐",77,"1900","159","sk","금","kt","55",1,10039124,13,"06","T21","2059",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N13","수원 KT 아레나","서울 SK 나이츠",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N13"
"IB SPORTS","S45G01","대구 한국가스공사",1,"20241026",0,70,14,"서울 삼성","대구 한국가스공사 페가수스",76,"1400","150","ss","토","pega","35",1,10039164,14,"64","T21","1550",45,"Daegue Gymnasium","정규시즌","S45G01N14","대구","서울 삼성 썬더스",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N14"
"tvN SPORTS","S45G01","고양 소노",1,"20241026",0,77,15,"창원 LG","고양 소노 스카이거너스",82,"1400","155","lg","토","sono","50",1,10039165,15,"66","T36","1555",45,"GOYANG SONO ARENA","정규시즌","S45G01N15","고양 소노 아레나","창원 LG 세이커스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N15"
"tvN SPORTS","S45G01","안양 정관장",1,"20241026",0,60,16,"원주 DB","안양 정관장 레드부스터스",68,"1600","158","db","토","kgc","16",1,10039168,16,"70","T36","1758",45,"Anyang Gymnasium","정규시즌","S45G01N16","안양 정관장 아레나","원주 DB 프로미",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N16"
"IB SPORTS","S45G01","서울 삼성",1,"20241027",0,76,17,"서울 SK","서울 삼성 썬더스",73,"1400","159","sk","일","ss","55",1,10039245,17,"35","T21","1559",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N17","잠실실내","서울 SK 나이츠",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N17"
"tvN SPORTS","S45G01","수원 KT",1,"20241027",0,91,18,"울산 현대모비스","수원 KT 소닉붐",89,"1400","212","hd","일","kt","10",1,10039246,18,"06","T36","1612",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N18","수원 KT 아레나","울산 현대모비스 피버스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N18"
"tvN SPORTS","S45G01","원주 DB",1,"20241027",0,77,19,"부산 KCC","원주 DB 프로미",70,"1600","147","kcc","일","db","60",1,10039253,19,"16","T36","1747",45,"Wonju Gymnasium","정규시즌","S45G01N19","원주종합","부산 KCC 이지스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N19"
"tvN SPORTS","S45G01","고양 소노",1,"20241028",0,70,20,"안양 정관장","고양 소노 스카이거너스",83,"1900","148","kgc","월","sono","70",1,10039313,20,"66","T36","2048",45,"GOYANG SONO ARENA","정규시즌","S45G01N20","고양 소노 아레나","안양 정관장 레드부스터스",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N20"
NA,"S45G01","서울 삼성",1,"20241029",0,77,21,"부산 KCC","서울 삼성 썬더스",73,"1900","152","kcc","화","ss","60",1,NA,21,"35",NA,"2052",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N21","잠실실내","부산 KCC 이지스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N21"
"tvN SPORTS","S45G01","안양 정관장",1,"20241030",0,97,22,"대구 한국가스공사","안양 정관장 레드부스터스",64,"1900","152","pega","수","kgc","64",1,10039388,22,"70","T36","2052",45,"Anyang Gymnasium","정규시즌","S45G01N22","안양 정관장 아레나","대구 한국가스공사 페가수스",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N22"
"tvN SPORTS","S45G01","고양 소노",1,"20241031",0,69,23,"수원 KT","고양 소노 스카이거너스",61,"1900","202","kt","목","sono","06",1,10039425,23,"66","T36","2102",45,"GOYANG SONO ARENA","정규시즌","S45G01N23","고양 소노 아레나","수원 KT 소닉붐",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N23"
"IB SPORTS","S45G01","서울 삼성",1,"20241031",0,83,24,"울산 현대모비스","서울 삼성 썬더스",80,"1900","219","hd","목","ss","10",1,10039426,24,"35","T21","2119",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N24","잠실실내","울산 현대모비스 피버스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N24"
NA,"S45G01","부산 KCC",1,"20241101",0,80,25,"대구 한국가스공사","부산 KCC 이지스",58,"1900","152","pega","금","kcc","64",1,10039471,25,"60",NA,"2052",45,"Busan Sajik Gymnasium","정규시즌","S45G01N25","부산사직","대구 한국가스공사 페가수스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N25"
"IB SPORTS","S45G01","창원 LG",1,"20241101",0,72,26,"서울 SK","창원 LG 세이커스",66,"1900","157","sk","금","lg","55",1,10039472,26,"50","T21","2057",45,"Changwon Gymnasium","정규시즌","S45G01N26","창원체육관","서울 SK 나이츠",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N26"
