"season","game_id","game_date","상대팀","홈원정","period","남은초","팀마진직전","슛","성공","클러치","레버리지_LI","기대초과","기여"
"2023_24","S43G01N100",20231216,"안양 정관장","원정",2,429,5,"3점",0,FALSE,1.25,-0.325,-1.218
"2023_24","S43G01N100",20231216,"안양 정관장","원정",2,338,2,"3점",0,FALSE,1.38,-0.325,-1.351
"2023_24","S43G01N100",20231216,"안양 정관장","원정",2,187,-0,"3점",0,FALSE,1.5,-0.325,-1.46
"2023_24","S43G01N100",20231216,"안양 정관장","원정",4,377,-15,"2점",0,FALSE,0.19,-0.521,-0.202
"2023_24","S43G01N104",20231217,"창원 LG","원정",2,560,-8,"3점",0,FALSE,1.2,-0.325,-1.171
"2023_24","S43G01N104",20231217,"창원 LG","원정",3,440,-15,"3점",1,FALSE,0.81,0.675,1.632
"2023_24","S43G01N104",20231217,"창원 LG","원정",3,362,-16,"3점",1,FALSE,0.69,0.675,1.406
"2023_24","S43G01N104",20231217,"창원 LG","원정",3,125,-15,"3점",1,FALSE,0.69,0.675,1.403
"2023_24","S43G01N104",20231217,"창원 LG","원정",4,497,-13,"3점",0,FALSE,0.78,-0.325,-0.764
"2023_24","S43G01N104",20231217,"창원 LG","원정",4,351,-16,"3점",0,FALSE,0.22,-0.325,-0.218
"2023_24","S43G01N104",20231217,"창원 LG","원정",4,259,-16,"3점",0,FALSE,0.11,-0.325,-0.103
"2023_24","S43G01N11",20231027,"고양 소노","홈",1,538,2,"3점",0,FALSE,1.14,-0.325,-1.108
"2023_24","S43G01N11",20231027,"서울 삼성","원정",1,520,-4,"2점",1,FALSE,0.75,0.479,0.714
"2023_24","S43G01N11",20231027,"서울 삼성","원정",1,161,-2,"2점",1,FALSE,0.82,0.479,0.789
"2023_24","S43G01N11",20231027,"서울 삼성","원정",1,120,-0,"2점",0,FALSE,0.83,-0.521,-0.869
"2023_24","S43G01N11",20231027,"서울 삼성","원정",1,28,-0,"2점",0,FALSE,0.85,-0.521,-0.891
"2023_24","S43G01N11",20231027,"서울 삼성","원정",2,201,1,"2점",1,FALSE,0.97,0.479,0.926
"2023_24","S43G01N11",20231027,"서울 삼성","원정",2,88,4,"3점",0,FALSE,1.42,-0.325,-1.384
"2023_24","S43G01N11",20231027,"고양 소노","홈",2,2,-2,"3점",1,FALSE,1.61,0.675,3.265
"2023_24","S43G01N11",20231027,"서울 삼성","원정",3,554,-3,"2점",1,FALSE,1.06,0.479,1.014
"2023_24","S43G01N11",20231027,"고양 소노","홈",3,515,1,"3점",0,FALSE,1.64,-0.325,-1.602
