"순위","game_id","game_date","슈터","상대팀","period","남은초","팀마진직전","슛","성공","레버리지_LI","기대초과"
1,"S47G01N97",20251211,"이선 알바노","서울 SK",4,0,-1,"3점",1,16.67,0.675
2,"S47G01N110",20251220,"한호빈","서울 SK",4,1,-1,"3점",0,16.62,-0.325
3,"S47G01N133",20260101,"샘조세프 벨란겔","고양 소노",4,1,-1,"3점",0,16.62,-0.325
4,"S47G01N196",20260210,"양준석","대구 한국가스공사",4,1,-1,"3점",0,16.62,-0.325
5,"S47G01N78",20251118,"정성우","부산 KCC",5,1,-1,"3점",0,16.62,-0.325
6,"S47G01N11",20251007,"레이션 해먼즈","수원 KT",5,1,-2,"3점",0,16.51,-0.325
7,"S47G01N156",20260113,"서명진","서울 삼성",4,1,-2,"3점",1,16.51,0.675
8,"S47G01N214",20260305,"문유현","고양 소노",4,1,-2,"3점",0,16.51,-0.325
9,"S47G01N220",20260307,"샘조세프 벨란겔","안양 정관장",4,1,-2,"3점",0,16.51,-0.325
10,"S47G01N25",20251016,"서민수","부산 KCC",4,1,-2,"3점",0,16.51,-0.325
11,"S47G01N77",20251117,"조엘 카굴랑안","서울 SK",5,1,-2,"3점",0,16.51,-0.325
12,"S47G01N123",20251227,"안영준","대구 한국가스공사",4,1,-1,"2점",1,16.46,0.479
13,"S47G01N139",20260104,"데릭 윌리엄스","창원 LG",4,1,-1,"2점",1,16.46,0.479
14,"S47G01N225",20260310,"레이션 해먼즈","부산 KCC",4,1,-1,"2점",0,16.46,-0.521
15,"S47G01N268",20260408,"강재민","안양 정관장",4,2,-2,"3점",0,15.86,-0.325
16,"S47G01N133",20260101,"네이던 나이트","대구 한국가스공사",4,2,-1,"2점",1,15.54,0.479
17,"S47G01N139",20260104,"박민재","창원 LG",4,2,-1,"2점",0,15.54,-0.521
18,"S47G01N173",20260126,"라건아","수원 KT",4,2,-1,"2점",0,15.54,-0.521
19,"S47G01N196",20260210,"샘조세프 벨란겔","창원 LG",4,2,-1,"2점",1,15.54,0.479
20,"S47G01N173",20260126,"강성욱","대구 한국가스공사",4,4,-1,"3점",0,15.53,-0.325
21,"S47G01N91",20251207,"문정현","창원 LG",4,5,-1,"3점",0,15.1,-0.325
22,"S47G01N123",20251227,"안영준","대구 한국가스공사",4,3,-1,"2점",0,14.51,-0.521
23,"S47G01N25",20251016,"허웅","원주 DB",4,7,-1,"3점",1,14.27,0.675
24,"S47G01N8",20251005,"이선 알바노","창원 LG",4,5,-2,"3점",0,14.15,-0.325
25,"S47G01N139",20260104,"문정현","창원 LG",4,4,-1,"2점",0,13.59,-0.521
26,"S47G01N195",20260209,"이근휘","수원 KT",5,11,-1,"3점",0,12.85,-0.325
27,"S47G01N97",20251211,"이선 알바노","서울 SK",4,5,-1,"2점",0,12.8,-0.521
28,"S47G01N59",20251107,"박지훈","서울 SK",4,6,-1,"2점",0,12.11,-0.521
29,"S47G01N256",20260401,"김낙현","부산 KCC",4,11,-2,"3점",0,12.09,-0.325
30,"S47G01N196",20260210,"전현우","창원 LG",4,14,-1,"3점",0,11.99,-0.325
